Ticker,AGG,EEM,EWJ,EWP,FEZ,GC=F,IWM,SHY,SI=F,TLT,^GSPC,^NDX
AGG,1.0,0.06040413130278122,0.13446539765737653,0.058752507028702515,0.0811595600476885,0.004209440510086114,0.014187697978466324,0.44381592057238506,0.018865126838113644,0.5282658299567756,0.08664715348584237,0.017513579456510293
EEM,0.06040413130278122,1.0,0.7104945000317897,0.7174125191875192,0.8113957044019967,0.226081545649971,0.8001453513309743,-0.24709365750489853,0.3765671779168541,-0.3467679249487701,0.8212149662878322,0.7818336726496726
EWJ,0.13446539765737653,0.7104945000317897,1.0,0.6224009351124643,0.7076417253823197,0.06832204431842116,0.6735000861150735,-0.19857263097728897,0.21982559305023255,-0.2802046700463442,0.7229969087349714,0.6725257920602926
EWP,0.058752507028702515,0.7174125191875192,0.6224009351124643,1.0,0.9281443450552913,0.15584615451033892,0.6822229341984238,-0.20201940414256167,0.2960289001138808,-0.35178427209280405,0.7363022082481131,0.6456462451706821
FEZ,0.0811595600476885,0.8113957044019967,0.7076417253823197,0.9281443450552913,1.0,0.16568992996663048,0.7889942111473962,-0.24075568089444843,0.3362826002477638,-0.40043586638806855,0.8455773785244122,0.7577296894008545
GC=F,0.004209440510086114,0.226081545649971,0.06832204431842116,0.15584615451033892,0.16568992996663048,1.0,0.08605653216316608,0.15637601981241656,0.7996872508844484,0.03357177509367875,0.02851516352847652,0.015014349045841025
IWM,0.014187697978466324,0.8001453513309743,0.6735000861150735,0.6822229341984238,0.7889942111473962,0.08605653216316608,1.0,-0.31020327140219284,0.26254671207092817,-0.40506374853768407,0.9223893215193648,0.8762096829360321
SHY,0.44381592057238506,-0.24709365750489853,-0.19857263097728897,-0.20201940414256167,-0.24075568089444843,0.15637601981241656,-0.31020327140219284,1.0,0.07420707795500535,0.5212914356011432,-0.33903777397530793,-0.338044924789849
SI=F,0.018865126838113644,0.3765671779168541,0.21982559305023255,0.2960289001138808,0.3362826002477638,0.7996872508844484,0.26254671207092817,0.07420707795500535,1.0,-0.11542816806892892,0.21886088631538775,0.18426282946929104
TLT,0.5282658299567756,-0.3467679249487701,-0.2802046700463442,-0.35178427209280405,-0.40043586638806855,0.03357177509367875,-0.40506374853768407,0.5212914356011432,-0.11542816806892892,1.0,-0.41800581223508354,-0.3907272981341512
^GSPC,0.08664715348584237,0.8212149662878322,0.7229969087349714,0.7363022082481131,0.8455773785244122,0.02851516352847652,0.9223893215193648,-0.33903777397530793,0.21886088631538775,-0.41800581223508354,1.0,0.909252355716776
^NDX,0.017513579456510293,0.7818336726496726,0.6725257920602926,0.6456462451706821,0.7577296894008545,0.015014349045841025,0.8762096829360321,-0.338044924789849,0.18426282946929104,-0.3907272981341512,0.909252355716776,1.0
